srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
192.168.0.59,57621,255.255.255.255,57621,17,1,68,0,0,68,68,68,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,0,0,0,0,0,0,68,0,0,0
64.233.190.189,443,192.168.0.75,40424,6,1,112,1,52,112,112,112,0,52,52,52,0,0,0,0,0,0,0,0,0,13,13,13,13,0,0,0,0,0,1,112,1,52,1,0,0,0,52,52,0,0
192.168.0.75,33678,172.217.29.78,443,6,1,52,1,52,52,52,52,0,52,52,52,0,0,0,0,0,0,0,0,0,23583,23583,23583,23583,0,0,0,0,0,1,52,1,52,0,0,0,0,52,52,0,0
192.168.0.75,42592,187.122.188.115,53,17,1,62,1,180,62,62,62,0,180,180,180,0,0,0,0,0,0,0,0,0,25140,25140,25140,25140,0,0,0,0,0,1,62,1,180,0,0,0,0,62,180,0,0
192.168.0.75,40062,46.4.119.208,45700,6,1,60,0,0,60,60,60,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,60,0,0,1
192.168.0.75,42592,187.122.188.112,53,17,4,260,4,832,62,65,68,3,123,208,380,117,417,61254,131845,66254,6045,64207,117620,55938,211859,211859,211859,211859,0,0,0,0,0,4,260,4,832,0,0,0,0,260,832,0,0
46.4.119.208,45700,192.168.0.75,40062,6,3,528,3,270,52,176,416,207,52,90,166,65,2882,111404,219927,153473,1100,110890,220681,155267,222822,222822,222822,222822,0,0,0,0,0,3,528,3,270,1,1,0,0,164,156,0,1
10.21.0.35,51784,78.46.23.253,45700,6,2,347,1,140,52,173,295,171,140,140,140,0,271043,271043,271043,0,0,0,0,0,271043,271043,271043,271043,0,0,0,0,0,2,347,1,140,1,1,0,0,104,52,0,1
10.21.0.35,52144,78.46.23.253,45700,6,6,677,4,668,52,112,295,99,52,167,416,170,1176,288466,672468,241562,694,397750,942772,488157,1442333,1442333,1442333,1442333,0,0,0,0,0,6,677,4,668,2,2,0,0,320,216,0,1
10.21.0.35,52144,78.46.23.253,45700,6,2,347,1,140,52,173,295,171,140,140,140,0,270496,270496,270496,0,0,0,0,0,270496,270496,270496,270496,0,0,0,0,0,2,347,1,140,1,1,0,0,104,52,0,1
78.46.23.253,45700,10.21.0.35,52144,6,2,496,3,399,140,248,356,152,52,133,295,140,0,0,0,0,270284,270284,270284,0,1438007,39,135161,270284,191092,1167684,1167684,1167684,0,1,248,1,199,2,1,0,0,104,156,0,1
10.21.0.35,52144,78.46.23.253,45700,6,1,295,1,52,295,295,295,0,52,52,52,0,0,0,0,0,0,0,0,0,289534,289534,289534,289534,0,0,0,0,0,1,295,1,52,1,0,0,0,52,52,0,1
10.21.0.35,52144,78.46.23.253,45700,6,1,295,0,0,295,295,295,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,295,0,0,1,0,0,0,52,0,0,1
192.168.0.75,68,192.168.0.1,67,17,1,328,0,0,328,328,328,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328,0,0,0,0,0,0,328,0,0,0
176.9.2.145,45550,192.168.1.223,56106,6,1,52,0,0,52,52,52,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,52,0,0,1
192.168.1.223,56106,176.9.2.145,45550,6,1,52,0,0,52,52,52,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,52,0,0,1
176.9.2.145,45550,192.168.1.223,56106,6,1,52,1,52,52,52,52,0,52,52,52,0,0,0,0,0,0,0,0,0,1218,1218,1218,1218,0,0,0,0,0,1,52,1,52,0,0,0,0,52,52,0,1
192.168.1.223,56108,176.9.2.145,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,96,122377,244658,172931,245625,245625,245625,0,489977,489977,489977,489977,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,56110,176.9.2.145,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,95,124473,248851,175897,249667,249667,249667,0,498220,498220,498220,498220,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,45726,46.4.119.208,45550,6,3,402,1,60,52,134,290,135,60,60,60,0,93,125321,250549,177099,0,0,0,0,250642,250642,250642,250642,0,0,0,0,0,3,402,1,60,1,0,0,0,164,60,0,1
46.4.119.208,45550,192.168.1.223,45726,6,1,52,0,0,52,52,52,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,52,0,0,1
192.168.1.223,36186,78.46.49.212,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,96,123793,247491,174934,246774,246774,246774,0,493961,493961,493961,493961,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,49236,94.130.9.194,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,97,126433,252770,178666,253050,253050,253050,0,505530,505530,505530,505530,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,56118,176.9.2.145,45550,6,1,60,0,0,60,60,60,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,60,0,0,1
176.9.2.145,45550,192.168.1.223,56118,6,1,52,0,0,52,52,52,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,52,0,0,1
192.168.1.223,49240,94.130.9.194,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,99,123293,246488,174223,246424,246424,246424,0,492684,492684,492684,492684,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,49244,94.130.9.194,45550,6,3,402,2,112,52,134,290,135,52,56,60,5,11,123885,247759,175184,247895,247895,247895,0,495418,495418,495418,495418,0,0,0,0,0,3,402,2,112,1,0,0,0,164,112,0,1
192.168.1.223,49246,94.130.9.194,45550,6,1,60,0,0,60,60,60,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,60,0,0,1
