['195.201.11.112', 443, '10.0.0.1', 55656]	-	0.0
['10.0.0.1', 55656, '195.201.11.112', 443]	-	0.0
['10.0.0.1', 46145, '8.8.8.8', 53]	-	0.0
['195.201.11.73', 3333, '10.0.0.1', 45548]	-	1.0
['10.0.0.1', 46908, '46.4.119.208', 45550]	-	1.0
['10.0.0.1', 33853, '8.8.8.8', 53]	-	0.0
['8.8.8.8', 53, '10.0.0.1', 35237]	-	0.0
['10.0.0.1', 60248, '176.9.147.78', 45550]	-	1.0
['10.0.0.1', 50418, '94.130.9.194', 45550]	-	0.0
['10.0.0.1', 56567, '8.8.8.8', 53]	-	0.0
['94.130.9.194', 45550, '10.0.0.1', 50418]	-	0.0
['10.0.0.1', 37372, '78.46.49.212', 45550]	-	1.0
['10.0.0.1', 39117, '8.8.8.8', 53]	-	0.0
['10.0.0.1', 41977, '8.8.8.8', 53]	-	0.0
['195.201.11.73', 3333, '10.0.0.1', 45548]	-	1.0
['195.201.11.73', 3333, '10.0.0.1', 45548]	-	1.0
['10.0.0.1', 39591, '8.8.8.8', 53]	-	0.0
['8.8.8.8', 53, '10.0.0.1', 39591]	-	0.0
['195.201.11.73', 3333, '10.0.0.1', 45548]	-	1.0
['10.0.0.1', 52297, '8.8.8.8', 53]	-	0.0
['10.0.0.1', 50428, '94.130.9.194', 45550]	-	1.0
['10.0.0.1', 57310, '176.9.2.145', 45550]	-	0.0
['10.0.0.1', 49808, '8.8.8.8', 53]	-	0.0
['176.9.2.145', 45550, '10.0.0.1', 57310]	-	1.0
['10.0.0.1', 54571, '8.8.8.8', 53]	-	0.0
['10.0.0.1', 46908, '46.4.119.208', 45550]	-	0.0
['10.0.0.1', 60248, '176.9.147.78', 45550]	-	0.0
['78.46.49.212', 45550, '10.0.0.1', 37372]	-	0.0
['78.46.49.212', 45550, '10.0.0.1', 37372]	-	0.0
['10.0.0.1', 35439, '8.8.8.8', 53]	-	0.0
['78.46.49.212', 45550, '10.0.0.1', 37372]	-	0.0
['78.46.49.212', 45550, '10.0.0.1', 37372]	-	0.0
['78.46.49.212', 45550, '10.0.0.1', 37372]	-	0.0
['78.46.49.212', 45550, '10.0.0.1', 37372]	-	0.0
['10.0.0.1', 51647, '8.8.8.8', 53]	-	0.0
['10.0.0.1', 45011, '8.8.8.8', 53]	-	0.0
['94.130.9.194', 45550, '10.0.0.1', 50428]	-	0.0
['94.130.9.194', 45550, '10.0.0.1', 50428]	-	0.0
['94.130.9.194', 45550, '10.0.0.1', 50428]	-	0.0
['94.130.9.194', 45550, '10.0.0.1', 50428]	-	0.0
['94.130.9.194', 45550, '10.0.0.1', 50428]	-	0.0
['10.0.0.1', 57310, '176.9.2.145', 45550]	-	0.0
