"10.0.0.5,34733,8.8.8.8,53,17,2,136,2,297,68,68,68,0,148,148,149,1,50,50,50,0,42940,42940,42940,0,98404,98404,98404,98404,0,0,0,0,0,2,136,2,297,0,0,0,0,136,297,0,live"
"10.0.0.8,56816,94.130.9.194,45550,6,3,402,1,60,52,134,290,135,60,60,60,0,116,121177,242238,171206,0,0,0,0,242354,242354,242354,242354,0,0,0,0,0,3,402,1,60,1,0,0,0,164,60,0,live"
"10.0.0.8,37135,8.8.8.8,53,17,2,136,2,297,68,68,68,0,148,148,149,1,1547,1547,1547,0,36,36,36,0,96846,96846,96846,96846,0,0,0,0,0,2,136,2,297,0,0,0,0,136,297,0,live"
"10.0.0.9,38108,176.9.147.78,45550,6,3,402,1,60,52,134,290,135,60,60,60,0,7905,127883,247862,169675,0,0,0,0,255767,255767,255767,255767,0,0,0,0,0,3,402,1,60,1,0,0,0,164,60,0,live"
"10.0.0.9,45471,8.8.8.8,53,17,2,136,2,297,68,68,68,0,148,148,149,1,49,49,49,0,6849,6849,6849,0,59768,59768,59768,59768,0,0,0,0,0,2,136,2,297,0,0,0,0,136,297,0,live"
"10.0.0.13,55950,8.8.8.8,53,17,2,136,2,297,68,68,68,0,148,148,149,1,36,36,36,0,44,44,44,0,56467,56467,56467,56467,0,0,0,0,0,2,136,2,297,0,0,0,0,136,297,0,live"
"94.130.9.194,45550,10.0.0.8,56816,6,1,52,0,0,52,52,52,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,52,0,0,live"
"176.9.147.78,45550,10.0.0.9,38108,6,1,52,0,0,52,52,52,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,52,0,0,live"
"176.9.147.78,45550,10.0.0.9,38108,6,1,52,1,52,52,52,52,0,52,52,52,0,0,0,0,0,0,0,0,0,510,510,510,510,0,0,0,0,0,1,52,1,52,0,0,0,0,52,52,0,live"
"10.0.0.9,60825,8.8.8.8,53,17,2,136,2,297,68,68,68,0,148,148,149,1,8,8,8,0,52595,52595,52595,0,54166,54166,54166,54166,0,0,0,0,0,2,136,2,297,0,0,0,0,136,297,0,live"
"10.0.0.9,43462,78.46.49.212,45550,6,1,60,0,0,60,60,60,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,60,0,0,live"
"10.0.0.8,35797,8.8.8.8,53,17,2,136,2,297,68,68,68,0,148,148,149,1,7,7,7,0,45048,45048,45048,0,96548,96548,96548,96548,0,0,0,0,0,2,136,2,297,0,0,0,0,136,297,0,live"
"78.46.49.212,45550,10.0.0.9,43462,6,2,112,2,342,52,56,60,5,52,171,290,168,248308,248308,248308,0,50,50,50,0,248308,248308,248308,248308,0,0,0,0,0,2,112,2,342,0,1,0,0,112,104,0,live"
"10.1.110.119,17500,10.1.255.255,17500,17,5,920,0,0,184,184,184,0,0,-1,0,0,104331,202462,406067,140744,0,0,0,0,809849,809849,809849,809849,0,0,0,0,0,5,920,0,0,0,0,0,0,920,0,0,live"
"10.1.110.119,17500,255.255.255.255,17500,17,5,920,0,0,184,184,184,0,0,-1,0,0,104379,202438,406155,140801,0,0,0,0,809753,809753,809753,809753,0,0,0,0,0,5,920,0,0,0,0,0,0,920,0,0,live"
"10.1.110.119,17500,10.1.255.255,17500,17,6,1104,0,0,184,184,184,0,0,-1,0,0,54368,96956,158200,38531,0,0,0,0,484780,484780,484780,484780,0,0,0,0,0,6,1104,0,0,0,0,0,0,1104,0,0,live"
"10.1.110.119,17500,255.255.255.255,17500,17,6,1104,0,0,184,184,184,0,0,-1,0,0,281,96927,158244,63124,0,0,0,0,484637,484637,484637,484637,0,0,0,0,0,6,1104,0,0,0,0,0,0,1104,0,0,live"
"10.0.0.9,56467,8.8.8.8,53,17,2,136,2,297,68,68,68,0,148,148,149,1,1845,1845,1845,0,137797,137797,137797,0,188153,188153,188153,188153,0,0,0,0,0,2,136,2,297,0,0,0,0,136,297,0,live"
"176.9.2.145,45550,10.0.0.5,48770,6,1,336,0,0,336,336,336,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336,0,0,1,0,0,0,52,0,0,live"
"10.0.0.7,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,461820,461820,461820,0,0,0,0,0,461820,461820,461820,461820,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"10.0.0.6,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,701675,701675,701675,0,0,0,0,0,701675,701675,701675,701675,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"10.0.0.2,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,681482,681482,681482,0,0,0,0,0,681482,681482,681482,681482,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"10.0.0.4,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,379152,379152,379152,0,0,0,0,0,379152,379152,379152,379152,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"176.9.2.145,45550,10.0.0.8,50784,6,1,336,0,0,336,336,336,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336,0,0,1,0,0,0,52,0,0,live"
"10.0.0.3,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,631236,631236,631236,0,0,0,0,0,631236,631236,631236,631236,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"176.9.2.145,45550,10.0.0.9,53914,6,1,336,0,0,336,336,336,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336,0,0,1,0,0,0,52,0,0,live"
"10.0.0.6,62816,239.255.255.250,1900,17,1,201,0,0,201,201,201,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,0,0,0,0,0,0,201,0,0,live"
"10.0.0.10,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,532191,532191,532191,0,0,0,0,0,532191,532191,532191,532191,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"10.0.0.11,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,685714,685714,685714,0,0,0,0,0,685714,685714,685714,685714,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"10.0.0.2,62816,239.255.255.250,1900,17,2,402,0,0,201,201,201,0,0,-1,0,0,0,0,0,0,0,0,0,0,1336762,0,0,0,0,1336762,1336762,1336762,0,1,201,0,0,0,0,0,0,402,0,0,live"
"10.0.0.4,62816,239.255.255.250,1900,17,2,402,0,0,201,201,201,0,0,-1,0,0,0,0,0,0,0,0,0,0,1250201,0,0,0,0,1250201,1250201,1250201,0,1,201,0,0,0,0,0,0,402,0,0,live"
"10.0.0.7,62816,239.255.255.250,1900,17,3,603,0,0,201,201,201,0,0,-1,0,0,693604,693604,693604,0,0,0,0,0,1872624,693604,346802,693604,490452,1179020,1179020,1179020,0,1,301,0,0,0,0,0,0,603,0,0,live"
"10.0.0.16,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,728965,728965,728965,0,0,0,0,0,728965,728965,728965,728965,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"10.0.0.6,62816,239.255.255.250,1900,17,2,402,0,0,201,201,201,0,0,-1,0,0,693680,693680,693680,0,0,0,0,0,693680,693680,693680,693680,0,0,0,0,0,2,402,0,0,0,0,0,0,402,0,0,live"
"10.0.0.12,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,502836,502836,502836,0,0,0,0,0,502836,502836,502836,502836,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"10.0.0.14,62810,224.0.0.252,5355,17,1,61,0,0,61,61,61,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,0,0,61,0,0,live"
"10.0.0.15,62810,224.0.0.252,5355,17,2,122,0,0,61,61,61,0,0,-1,0,0,341012,341012,341012,0,0,0,0,0,341012,341012,341012,341012,0,0,0,0,0,2,122,0,0,0,0,0,0,122,0,0,live"
"10.0.0.3,62816,239.255.255.250,1900,17,2,402,0,0,201,201,201,0,0,-1,0,0,0,0,0,0,0,0,0,0,1198363,0,0,0,0,1198363,1198363,1198363,0,1,201,0,0,0,0,0,0,402,0,0,live"
"10.0.0.7,62816,239.255.255.250,1900,17,1,201,0,0,201,201,201,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,0,0,0,0,0,0,201,0,0,live"
"10.0.0.2,62816,239.255.255.250,1900,17,2,402,0,0,201,201,201,0,0,-1,0,0,847770,847770,847770,0,0,0,0,0,847770,847770,847770,847770,0,0,0,0,0,2,402,0,0,0,0,0,0,402,0,0,live"
