"172.16.10.102,38350,91.189.94.4,123,17,1,76,0,0,76,76,76,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,0,0,0,0,0,0,76,0,4,live"
"172.16.10.102,5353,224.0.0.251,5353,17,1,73,0,0,73,73,73,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,73,0,0,live"
"192.168.0.72,63237,88.99.142.163,443,6,2,118,1,72,40,59,78,26,72,72,72,0,252887,252887,252887,0,0,0,0,0,252887,252887,252887,252887,0,0,0,0,0,2,118,1,72,1,1,0,0,80,40,0,live"
"40.117.154.240,443,192.168.0.72,63239,6,1,40,0,0,40,40,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,40,0,0,live"
"88.99.142.163,443,192.168.0.72,63172,6,2,111,2,115,40,55,71,21,40,57,75,24,236293,236293,236293,0,102,102,102,0,236293,236293,236293,236293,0,0,0,0,0,2,111,2,115,1,1,0,0,80,80,0,live"
"192.168.0.72,63211,94.130.143.162,443,6,2,493,1,390,40,246,453,292,390,390,390,0,256297,256297,256297,0,0,0,0,0,256297,256297,256297,256297,0,0,0,0,0,2,493,1,390,1,1,0,0,80,40,0,live"
"192.168.0.72,63284,88.99.142.163,443,6,6,895,6,5787,40,149,557,205,40,964,1500,721,973,89655,224049,119290,102,45431,216438,95656,448278,448278,448278,448278,0,0,0,0,0,6,895,6,5787,2,1,0,0,252,252,0,live"
"192.168.0.72,63173,136.243.102.154,443,6,2,116,1,72,40,58,76,25,72,72,72,0,211309,211309,211309,0,0,0,0,0,211309,211309,211309,211309,0,0,0,0,0,2,116,1,72,1,1,0,0,80,40,0,live"
"88.99.142.163,443,192.168.0.72,63172,6,2,1589,1,40,89,794,1500,997,40,40,40,0,1782,1782,1782,0,0,0,0,0,3949,3949,3949,3949,0,0,0,0,0,2,1589,1,40,1,0,0,0,80,40,0,live"
"136.243.102.154,443,192.168.0.72,63176,6,2,1544,1,40,44,772,1500,1029,40,40,40,0,154,154,154,0,0,0,0,0,251,251,251,251,0,0,0,0,0,2,1544,1,40,1,0,0,0,80,40,0,live"
"88.99.142.163,443,192.168.0.72,63284,6,6,951,5,617,74,158,298,98,40,123,265,114,1716,89221,220817,119095,1412,121756,221142,115680,488549,488549,488549,488549,0,0,0,0,0,6,951,5,617,6,2,0,0,240,200,0,live"
"192.168.0.72,63286,136.243.94.27,45700,6,3,251,1,52,40,83,159,65,52,52,52,0,176,101273,202370,142972,0,0,0,0,202546,202546,202546,202546,0,0,0,0,0,3,251,1,52,1,0,0,0,132,52,0,live"
"99.84.27.57,443,192.168.0.72,63227,6,1,40,0,0,40,40,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,40,0,0,live"
"192.168.0.1,1900,239.255.255.250,1900,17,10,3731,0,0,331,373,411,31,0,-1,0,0,1570,3751,4800,952,0,0,0,0,33765,33765,33765,33765,0,0,0,0,0,10,3731,0,0,0,0,0,0,3731,0,0,live"
"136.243.94.27,45700,192.168.0.72,63286,6,3,484,1,40,40,161,404,210,40,40,40,0,31,189,347,223,0,0,0,0,41357,41357,41357,41357,0,0,0,0,0,3,484,1,40,1,0,0,0,120,40,0,live"
"136.243.102.154,443,192.168.0.72,63176,6,3,3045,3,156,45,1015,1500,840,40,52,76,20,1968,59887,117806,81909,120167,342081,563995,313833,685557,685557,685557,685557,0,0,0,0,0,3,3045,3,156,2,1,0,0,120,120,0,live"
"192.168.0.72,63181,94.130.143.162,443,6,2,116,1,72,40,58,76,25,72,72,72,0,216860,216860,216860,0,0,0,0,0,216860,216860,216860,216860,0,0,0,0,0,2,116,1,72,1,1,0,0,80,40,0,live"
"192.168.0.73,5353,224.0.0.251,5353,17,1,490,0,0,490,490,490,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490,0,0,0,0,0,0,490,0,0,live"
"192.168.0.72,63226,136.243.102.154,443,6,1,41,1,52,41,41,41,0,52,52,52,0,0,0,0,0,0,0,0,0,216379,216379,216379,216379,0,0,0,0,0,1,41,1,52,0,0,0,0,40,52,0,live"
"136.243.102.154,443,192.168.0.72,63176,6,1,72,1,40,72,72,72,0,40,40,40,0,0,0,0,0,0,0,0,0,227,227,227,227,0,0,0,0,0,1,72,1,40,1,0,0,0,40,40,0,live"
"192.168.0.72,63247,151.139.236.180,443,6,1,41,1,52,41,41,41,0,52,52,52,0,0,0,0,0,0,0,0,0,126649,126649,126649,126649,0,0,0,0,0,1,41,1,52,0,0,0,0,40,52,0,live"
"88.99.142.163,443,192.168.0.72,62859,6,2,111,1,75,40,55,71,21,75,75,75,0,215356,215356,215356,0,0,0,0,0,215356,215356,215356,215356,0,0,0,0,0,2,111,1,75,1,1,0,0,80,40,0,live"
"88.99.142.163,443,192.168.0.72,63284,6,1,40,0,0,40,40,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,40,0,0,live"
"192.168.0.72,63238,94.31.29.44,443,6,1,41,1,52,41,41,41,0,52,52,52,0,0,0,0,0,0,0,0,0,132498,132498,132498,132498,0,0,0,0,0,1,41,1,52,0,0,0,0,40,52,0,live"
"136.243.102.154,443,192.168.0.72,63234,6,2,111,1,75,40,55,71,21,75,75,75,0,213234,213234,213234,0,0,0,0,0,213234,213234,213234,213234,0,0,0,0,0,2,111,1,75,1,1,0,0,80,40,0,live"
"192.168.0.59,41461,239.255.255.250,1900,17,3,456,0,0,150,152,153,1,0,-1,0,0,100917,152832,204747,73418,0,0,0,0,305664,305664,305664,305664,0,0,0,0,0,3,456,0,0,0,0,0,0,456,0,0,live"
"192.168.0.73,5353,224.0.0.251,5353,17,1,490,0,0,490,490,490,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490,0,0,0,0,0,0,490,0,0,live"
"192.168.0.73,5353,224.0.0.251,5353,17,4,1021,0,0,177,255,490,156,0,-1,0,0,204803,240476,309389,59692,0,0,0,0,721428,721428,721428,721428,0,0,0,0,0,4,1021,0,0,0,0,0,0,1021,0,0,live"
"136.243.102.154,443,192.168.0.72,63173,6,1,241,0,0,241,241,241,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,241,0,0,1,0,0,0,40,0,0,live"
"192.168.0.59,41461,239.255.255.250,1900,17,1,150,0,0,150,150,150,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,0,0,0,0,0,0,150,0,0,live"
"192.168.0.72,64016,224.0.0.252,5355,17,2,100,0,0,50,50,50,0,0,-1,0,0,445606,445606,445606,0,0,0,0,0,445606,445606,445606,445606,0,0,0,0,0,2,100,0,0,0,0,0,0,100,0,0,live"
"192.168.0.72,62846,224.0.0.252,5355,17,2,100,0,0,50,50,50,0,0,-1,0,0,445193,445193,445193,0,0,0,0,0,445193,445193,445193,445193,0,0,0,0,0,2,100,0,0,0,0,0,0,100,0,0,live"
