"192.168.0.72,63237,88.99.142.163,443,6,2,118,1,72,40,59,78,26,72,72,72,0,255490,255490,255490,0,0,0,0,0,255490,255490,255490,255490,0,0,0,0,0,2,118,1,72,1,1,0,0,80,40,0,live"
"40.117.154.240,443,192.168.0.72,63239,6,1,40,0,0,40,40,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,40,0,0,live"
"88.99.142.163,443,192.168.0.72,63172,6,2,111,2,115,40,55,71,21,40,57,75,24,238695,238695,238695,0,1091,1091,1091,0,238695,238695,238695,238695,0,0,0,0,0,2,111,2,115,1,1,0,0,80,80,0,live"
"192.168.0.72,63211,94.130.143.162,443,6,2,493,1,390,40,246,453,292,390,390,390,0,256087,256087,256087,0,0,0,0,0,256087,256087,256087,256087,0,0,0,0,0,2,493,1,390,1,1,0,0,80,40,0,live"
"192.168.0.72,63284,88.99.142.163,443,6,6,895,6,5787,40,149,557,205,40,964,1500,721,963,90099,224085,119870,145,45447,216426,95640,450498,450498,450498,450498,0,0,0,0,0,6,895,6,5787,2,1,0,0,252,252,0,live"
"192.168.0.72,63173,136.243.102.154,443,6,2,116,1,72,40,58,76,25,72,72,72,0,213718,213718,213718,0,0,0,0,0,213718,213718,213718,213718,0,0,0,0,0,2,116,1,72,1,1,0,0,80,40,0,live"
"88.99.142.163,443,192.168.0.72,63172,6,2,1589,1,40,89,794,1500,997,40,40,40,0,157,157,157,0,0,0,0,0,289,289,289,289,0,0,0,0,0,2,1589,1,40,1,0,0,0,80,40,0,live"
"136.243.102.154,443,192.168.0.72,63176,6,2,1544,1,40,44,772,1500,1029,40,40,40,0,133,133,133,0,0,0,0,0,267,267,267,267,0,0,0,0,0,2,1544,1,40,1,0,0,0,80,40,0,live"
"88.99.142.163,443,192.168.0.72,63284,6,5,653,4,352,74,130,250,79,40,88,232,96,414,53579,212126,105697,1014,84918,210693,110933,256769,256769,256769,256769,0,0,0,0,0,5,653,4,352,5,1,0,0,200,160,0,live"
"192.168.0.72,63286,136.243.94.27,45700,6,3,251,1,52,40,83,159,65,52,52,52,0,176,100466,200757,141832,0,0,0,0,200933,200933,200933,200933,0,0,0,0,0,3,251,1,52,1,0,0,0,132,52,0,live"
"99.84.27.57,443,192.168.0.72,63227,6,1,40,0,0,40,40,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,40,0,0,live"
"192.168.0.1,1900,239.255.255.250,1900,17,10,3731,0,0,331,373,411,31,0,-1,0,0,1879,3475,4004,643,0,0,0,0,31281,31281,31281,31281,0,0,0,0,0,10,3731,0,0,0,0,0,0,3731,0,0,live"
"136.243.94.27,45700,192.168.0.72,63286,6,3,484,1,40,40,161,404,210,40,40,40,0,121,234,347,159,0,0,0,0,41446,41446,41446,41446,0,0,0,0,0,3,484,1,40,1,0,0,0,120,40,0,live"
"192.168.0.75,5353,224.0.0.251,5353,17,1,146,0,0,146,146,146,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,146,0,0,0,0,0,0,146,0,0,live"
